[2024-03-03 13:41:14] udpate moving average: yfinance.Ticker object <005930.KS>, row: 672
[2024-03-03 13:41:18] udpate moving average: yfinance.Ticker object <000660.KS>, row: 672
[2024-03-03 13:41:20] udpate moving average: yfinance.Ticker object <373220.KS>, row: 513
[2024-03-03 13:41:23] udpate moving average: yfinance.Ticker object <207940.KS>, row: 672
[2024-03-03 13:41:26] udpate moving average: yfinance.Ticker object <005380.KS>, row: 672
[2024-03-03 13:41:28] udpate moving average: yfinance.Ticker object <005935.KS>, row: 672
[2024-03-03 13:41:31] udpate moving average: yfinance.Ticker object <000270.KS>, row: 672
[2024-03-03 13:41:34] udpate moving average: yfinance.Ticker object <068270.KS>, row: 672
[2024-03-03 13:41:37] udpate moving average: yfinance.Ticker object <005490.KS>, row: 672
[2024-03-03 13:41:41] udpate moving average: yfinance.Ticker object <051910.KS>, row: 672
[2024-03-03 13:41:43] udpate moving average: yfinance.Ticker object <035420.KS>, row: 672
[2024-03-03 13:41:46] udpate moving average: yfinance.Ticker object <028260.KS>, row: 672
[2024-03-03 13:43:54] udpate moving average: yfinance.Ticker object <005930.KS>, row: 0
[2024-03-03 13:43:55] udpate moving average: yfinance.Ticker object <000660.KS>, row: 0
[2024-03-03 13:43:55] udpate moving average: yfinance.Ticker object <373220.KS>, row: 0
[2024-03-03 13:43:56] udpate moving average: yfinance.Ticker object <207940.KS>, row: 0
[2024-03-03 13:43:56] udpate moving average: yfinance.Ticker object <005380.KS>, row: 0
[2024-03-03 13:43:57] udpate moving average: yfinance.Ticker object <005935.KS>, row: 0
[2024-03-03 13:43:58] udpate moving average: yfinance.Ticker object <000270.KS>, row: 0
[2024-03-03 13:43:58] udpate moving average: yfinance.Ticker object <068270.KS>, row: 0
[2024-03-03 13:43:59] udpate moving average: yfinance.Ticker object <005490.KS>, row: 0
[2024-03-03 13:43:59] udpate moving average: yfinance.Ticker object <051910.KS>, row: 0
[2024-03-03 13:44:00] udpate moving average: yfinance.Ticker object <035420.KS>, row: 0
[2024-03-03 13:44:00] udpate moving average: yfinance.Ticker object <028260.KS>, row: 0
[2024-03-03 13:44:03] udpate moving average: yfinance.Ticker object <006400.KS>, row: 672
[2024-03-03 13:44:06] udpate moving average: yfinance.Ticker object <105560.KS>, row: 672
[2024-03-03 13:44:09] udpate moving average: yfinance.Ticker object <003670.KS>, row: 672
[2024-03-03 13:44:11] udpate moving average: yfinance.Ticker object <035720.KS>, row: 672
[2024-03-03 13:44:14] udpate moving average: yfinance.Ticker object <012330.KS>, row: 672
[2024-03-03 13:44:17] udpate moving average: yfinance.Ticker object <055550.KS>, row: 672
[2024-03-03 13:44:21] udpate moving average: yfinance.Ticker object <032830.KS>, row: 672
[2024-03-03 13:44:25] udpate moving average: yfinance.Ticker object <138040.KS>, row: 672
[2024-03-03 13:44:29] udpate moving average: yfinance.Ticker object <086790.KS>, row: 672
[2024-03-03 13:44:32] udpate moving average: yfinance.Ticker object <015760.KS>, row: 672
[2024-03-03 13:44:36] udpate moving average: yfinance.Ticker object <066570.KS>, row: 672
[2024-03-03 13:44:40] udpate moving average: yfinance.Ticker object <003550.KS>, row: 672
[2024-03-03 13:44:44] udpate moving average: yfinance.Ticker object <000810.KS>, row: 672
[2024-03-03 13:44:47] udpate moving average: yfinance.Ticker object <034730.KS>, row: 672
[2024-03-03 13:44:51] udpate moving average: yfinance.Ticker object <323410.KS>, row: 629
[2024-03-03 13:44:53] udpate moving average: yfinance.Ticker object <450080.KS>, row: 70
[2024-03-03 13:44:56] udpate moving average: yfinance.Ticker object <011200.KS>, row: 672
[2024-03-03 13:44:59] udpate moving average: yfinance.Ticker object <033780.KS>, row: 672
[2024-03-03 13:45:02] udpate moving average: yfinance.Ticker object <018260.KS>, row: 672
[2024-03-03 13:45:06] udpate moving average: yfinance.Ticker object <096770.KS>, row: 672
[2024-03-03 13:45:10] udpate moving average: yfinance.Ticker object <017670.KS>, row: 672
[2024-03-03 13:45:14] udpate moving average: yfinance.Ticker object <316140.KS>, row: 672
[2024-03-03 13:45:18] udpate moving average: yfinance.Ticker object <024110.KS>, row: 672
[2024-03-03 13:45:21] udpate moving average: yfinance.Ticker object <259960.KS>, row: 627
[2024-03-03 13:45:24] udpate moving average: yfinance.Ticker object <329180.KS>, row: 600
[2024-03-03 13:45:29] udpate moving average: yfinance.Ticker object <009150.KS>, row: 672
[2024-03-03 13:45:33] udpate moving average: yfinance.Ticker object <034020.KS>, row: 672
[2024-03-03 13:45:38] udpate moving average: yfinance.Ticker object <030200.KS>, row: 672
[2024-03-03 13:45:42] udpate moving average: yfinance.Ticker object <047050.KS>, row: 672
[2024-03-03 13:45:46] udpate moving average: yfinance.Ticker object <402340.KS>, row: 554
