[2024-06-07 23:47:42] udpate price_detail: 099520.KQ[2024-06-08 01:07:22] udpate price_detail: 099520.KQ[2024-06-14 23:37:12] Try to insert 1304 codes
[2024-06-14 23:37:24] udpate price_detail: 060150.KQ, row: 714
[2024-06-14 23:37:34] udpate price_detail: 004780.KQ, row: 693
[2024-06-14 23:37:42] udpate price_detail: 442770.KQ, row: 359
[2024-06-14 23:37:48] udpate price_detail: 900260.KQ, row: 388
[2024-06-14 23:37:58] udpate price_detail: 007370.KQ, row: 696
[2024-06-14 23:38:05] udpate price_detail: 067570.KQ, row: 403
[2024-06-14 23:38:15] udpate price_detail: 239890.KQ, row: 714
[2024-06-14 23:38:24] udpate price_detail: 191410.KQ, row: 711
[2024-06-14 23:38:33] udpate price_detail: 315640.KQ, row: 685
[2024-06-14 23:38:42] udpate price_detail: 014620.KQ, row: 700
[2024-06-14 23:38:51] udpate price_detail: 012340.KQ, row: 714
[2024-06-14 23:39:00] udpate price_detail: 023910.KQ, row: 693
[2024-06-14 23:39:07] udpate price_detail: 158430.KQ, row: 396
[2024-06-14 23:39:15] udpate price_detail: 900290.KQ, row: 403
[2024-06-14 23:39:24] udpate price_detail: 101330.KQ, row: 713
[2024-06-14 23:39:33] udpate price_detail: 119500.KQ, row: 697
[2024-06-14 23:39:42] udpate price_detail: 082920.KQ, row: 714
[2024-06-14 23:39:49] udpate price_detail: 373170.KQ, row: 203
[2024-06-14 23:39:58] udpate price_detail: 034950.KQ, row: 704
[2024-06-14 23:40:04] udpate price_detail: 469480.KQ, row: 83
[2024-06-14 23:40:15] udpate price_detail: 065770.KQ, row: 707
[2024-06-14 23:40:22] udpate price_detail: 445180.KQ, row: 156
[2024-06-14 23:40:28] udpate price_detail: 474660.KQ, row: 35
[2024-06-14 23:40:37] udpate price_detail: 319400.KQ, row: 714
[2024-06-14 23:40:47] udpate price_detail: 038950.KQ, row: 709
[2024-06-14 23:40:57] udpate price_detail: 005670.KQ, row: 707
