[2024-06-07 23:47:42] udpate price_detail: 446070.KS[2024-06-07 23:47:45] , row: 373
[2024-06-07 23:47:45] udpate price_detail: 152550.KS[2024-06-07 23:47:47] , row: 383
[2024-06-07 23:47:47] udpate price_detail: 005930.KS[2024-06-07 23:47:49] , row: 735
[2024-06-07 23:47:49] udpate price_detail: 373220.KS[2024-06-07 23:47:51] , row: 576
[2024-06-07 23:47:51] udpate price_detail: 005380.KS[2024-06-07 23:47:53] , row: 735
[2024-06-07 23:47:53] udpate price_detail: 207940.KS[2024-06-07 23:47:56] , row: 735
[2024-06-07 23:47:56] udpate price_detail: 005935.KS[2024-06-07 23:47:58] , row: 735
[2024-06-07 23:47:58] udpate price_detail: 000270.KS[2024-06-07 23:48:00] , row: 735
[2024-06-07 23:48:00] udpate price_detail: 068270.KS[2024-06-07 23:48:02] , row: 735
[2024-06-07 23:48:02] udpate price_detail: 005490.KS[2024-06-07 23:48:04] , row: 735
[2024-06-07 23:48:04] udpate price_detail: 105560.KS[2024-06-07 23:48:06] , row: 735
[2024-06-07 23:48:06] udpate price_detail: 035420.KS[2024-06-07 23:48:09] , row: 735
[2024-06-07 23:48:09] udpate price_detail: 006400.KS[2024-06-07 23:48:11] , row: 735
[2024-06-07 23:48:11] udpate price_detail: 051910.KS[2024-06-07 23:48:14] , row: 735
[2024-06-07 23:48:14] udpate price_detail: 028260.KS[2024-06-07 23:48:16] , row: 735
[2024-06-07 23:48:16] udpate price_detail: 055550.KS[2024-06-07 23:48:19] , row: 735
[2024-06-07 23:48:19] udpate price_detail: 003670.KS[2024-06-07 23:48:21] , row: 735
[2024-06-07 23:48:21] udpate price_detail: 012330.KS[2024-06-07 23:48:24] , row: 735
[2024-06-07 23:48:24] udpate price_detail: 086790.KS[2024-06-07 23:48:27] , row: 735
[2024-06-07 23:48:27] udpate price_detail: 032830.KS[2024-06-07 23:48:30] , row: 735
[2024-06-07 23:48:30] udpate price_detail: 066570.KS[2024-06-07 23:48:32] , row: 735
[2024-06-07 23:48:32] udpate price_detail: 000810.KS[2024-06-07 23:48:35] , row: 735
[2024-06-07 23:48:35] udpate price_detail: 042700.KS[2024-06-07 23:48:37] , row: 735
[2024-06-07 23:48:37] udpate price_detail: 138040.KS[2024-06-07 23:48:40] , row: 735
[2024-06-07 23:48:40] udpate price_detail: 011200.KS[2024-06-07 23:48:43] , row: 735
[2024-06-07 23:48:43] udpate price_detail: 015760.KS[2024-06-07 23:48:46] , row: 735
[2024-06-07 23:48:46] udpate price_detail: 003550.KS[2024-06-07 23:48:48] , row: 735
[2024-06-07 23:48:48] udpate price_detail: 018260.KS[2024-06-07 23:48:51] , row: 735
[2024-06-07 23:48:51] udpate price_detail: 034020.KS[2024-06-07 23:48:54] , row: 735
[2024-06-07 23:48:54] udpate price_detail: 259960.KS[2024-06-07 23:48:56] , row: 690
[2024-06-07 23:48:56] udpate price_detail: 009150.KS[2024-06-07 23:48:59] , row: 735
[2024-06-07 23:48:59] udpate price_detail: 033780.KS[2024-06-07 23:49:02] , row: 735
