[2024-06-07 17:30:22] udpate price_detail: NVDA[2024-06-07 17:31:47] udpate price_detail: NVDA[2024-06-07 17:31:49] , row: 0
[2024-06-07 17:49:41] udpate price_detail: NVDA[2024-06-07 17:49:43] , row: 0
[2024-06-07 17:51:36] udpate price_detail: NVDA[2024-06-07 17:51:38] , row: 0
[2024-06-07 17:52:40] udpate price_detail: NVDA[2024-06-07 17:52:42] , row: 0
[2024-06-07 17:54:10] udpate price_detail: NVDA[2024-06-07 17:54:11] , row: 0
[2024-06-07 17:55:24] udpate price_detail: NVDA[2024-06-07 17:55:35] udpate price_detail: NVDA[2024-06-07 17:55:37] , row: 0
[2024-06-07 18:05:35] udpate price_detail: NVDA[2024-06-07 18:06:10] udpate price_detail: NVDA[2024-06-07 18:07:01] udpate price_detail: NVDA[2024-06-07 18:14:20] udpate price_detail: NVDA[2024-06-07 18:14:22] , row: None
[2024-06-07 18:24:33] udpate price_detail: NVDA[2024-06-07 18:24:36] , row: 0
[2024-06-07 18:28:32] udpate price_detail: NVDA[2024-06-07 18:28:34] , row: 0
[2024-06-07 18:29:06] udpate price_detail: NVDA[2024-06-07 18:29:08] , row: 0
[2024-06-07 18:30:44] udpate price_detail: NVDA[2024-06-07 18:30:46] , row: 0
[2024-06-07 18:31:52] udpate price_detail: NVDA[2024-06-07 18:32:39] udpate price_detail: NVDA[2024-06-07 18:32:41] , row: None
[2024-06-07 18:33:24] udpate price_detail: NVDA[2024-06-07 18:33:27] , row: None
[2024-06-07 18:35:52] udpate price_detail: NVDA[2024-06-07 18:35:55] , row: 411
[2024-06-07 22:48:13] udpate price_detail: NVDA[2024-06-07 22:49:43] udpate price_detail: NVDA[2024-06-07 22:49:46] , row: 0
[2024-06-07 23:47:42] udpate price_detail: ALCYU[2024-06-07 23:47:45] , row: 267
[2024-06-07 23:47:45] udpate price_detail: QXO[2024-06-08 01:07:22] udpate price_detail: ALCYU[2024-06-08 01:07:25] , row: 0
[2024-06-08 01:07:25] udpate price_detail: QXO[2024-06-08 09:18:06] Try to insert 2562 codes[2024-06-08 09:18:06] udpate price_detail: METCL[2024-06-08 09:18:09] , row: 412
[2024-06-08 09:18:09] udpate price_detail: ONYX[2024-06-08 09:18:11] , row: 412
[2024-06-08 09:18:11] udpate price_detail: INDV[2024-06-08 09:18:14] , row: 736
[2024-06-08 09:18:14] udpate price_detail: DTCK[2024-06-08 09:18:16] , row: 181
[2024-06-08 09:18:16] udpate price_detail: INBS[2024-06-08 09:18:18] , row: 412
[2024-06-08 09:18:18] udpate price_detail: IBEX[2024-06-08 09:18:20] , row: 736
[2024-06-08 09:18:20] udpate price_detail: PUBM[2024-06-08 09:18:23] , row: 736
[2024-06-08 09:18:23] udpate price_detail: SRDX[2024-06-08 09:18:25] , row: 736
[2024-06-08 09:18:25] udpate price_detail: HUGE[2024-06-08 09:18:27] , row: 412
[2024-06-08 09:18:27] udpate price_detail: WINV[2024-06-08 09:18:30] , row: 672
[2024-06-08 09:18:30] udpate price_detail: AQUNU[2024-06-08 09:18:32] , row: 420
[2024-06-08 09:18:32] udpate price_detail: AIMD[2024-06-08 09:18:34] , row: 736
