[2024-06-07 22:52:24] udpate price: 446070.KS[2024-06-07 22:52:27] , row: 374
[2024-06-07 22:52:27] udpate price: 152550.KS[2024-06-07 22:52:29] , row: 384
[2024-06-07 22:52:29] udpate price: 005930.KS[2024-06-07 22:52:30] , row: 9
[2024-06-07 22:52:30] udpate price: 373220.KS[2024-06-07 22:52:31] , row: 9
[2024-06-07 22:52:31] udpate price: 005380.KS[2024-06-07 22:52:33] , row: 64
[2024-06-07 22:52:33] udpate price: 207940.KS[2024-06-07 22:52:34] , row: 9
[2024-06-07 22:52:34] udpate price: 005935.KS[2024-06-07 22:52:35] , row: 9
[2024-06-07 22:52:35] udpate price: 000270.KS[2024-06-07 22:52:37] , row: 64
[2024-06-07 22:52:37] udpate price: 068270.KS[2024-06-07 22:52:38] , row: 9
[2024-06-07 22:52:38] udpate price: 005490.KS[2024-06-07 22:52:39] , row: 9
[2024-06-07 22:52:39] udpate price: 105560.KS[2024-06-07 22:52:40] , row: 9
[2024-06-07 22:52:40] udpate price: 035420.KS[2024-06-07 22:52:42] , row: 9
[2024-06-07 22:52:42] udpate price: 006400.KS[2024-06-07 22:52:43] , row: 9
[2024-06-07 22:52:43] udpate price: 051910.KS[2024-06-07 22:52:44] , row: 9
[2024-06-07 22:52:44] udpate price: 028260.KS[2024-06-07 22:52:45] , row: 9
[2024-06-07 22:52:45] udpate price: 055550.KS[2024-06-07 22:52:47] , row: 9
[2024-06-07 22:52:47] udpate price: 003670.KS[2024-06-07 22:52:48] , row: 64
[2024-06-07 22:52:48] udpate price: 012330.KS[2024-06-07 22:52:49] , row: 9
[2024-06-07 22:52:49] udpate price: 086790.KS[2024-06-07 22:52:51] , row: 9
[2024-06-07 22:52:51] udpate price: 032830.KS[2024-06-07 22:52:52] , row: 9
[2024-06-07 22:52:52] udpate price: 066570.KS[2024-06-07 22:52:53] , row: 64
[2024-06-07 22:52:53] udpate price: 000810.KS[2024-06-07 22:52:55] , row: 9
[2024-06-07 22:52:55] udpate price: 042700.KS[2024-06-07 22:52:56] , row: 64
[2024-06-07 22:52:56] udpate price: 138040.KS[2024-06-07 22:52:57] , row: 44
[2024-06-07 22:52:57] udpate price: 011200.KS[2024-06-07 22:52:59] , row: 9
[2024-06-07 22:52:59] udpate price: 015760.KS[2024-06-07 22:53:00] , row: 64
[2024-06-07 22:53:00] udpate price: 003550.KS[2024-06-07 22:53:01] , row: 9
[2024-06-07 22:53:01] udpate price: 018260.KS[2024-06-07 22:53:03] , row: 9
[2024-06-07 22:53:03] udpate price: 034020.KS[2024-06-07 22:53:04] , row: 9
[2024-06-07 22:53:04] udpate price: 259960.KS[2024-06-07 22:53:05] , row: 9
[2024-06-07 22:53:05] udpate price: 009150.KS[2024-06-07 22:53:06] , row: 9
[2024-06-07 22:53:06] udpate price: 033780.KS[2024-06-07 22:53:08] , row: 9
[2024-06-07 22:53:08] udpate price: 017670.KS[2024-06-07 22:53:09] , row: 9
[2024-06-07 22:53:09] udpate price: 024110.KS[2024-06-07 22:53:11] , row: 9
[2024-06-07 22:53:11] udpate price: 323410.KS[2024-06-07 22:53:12] , row: 9
[2024-06-07 22:53:12] udpate price: 012450.KS[2024-06-07 22:53:13] , row: 64
[2024-06-07 22:53:13] udpate price: 316140.KS[2024-06-07 22:53:14] , row: 9
[2024-06-07 22:53:14] udpate price: 090430.KS[2024-06-07 22:53:16] , row: 9
[2024-06-07 22:53:16] udpate price: 010130.KS[2024-06-07 22:53:17] , row: 9
[2024-06-07 22:53:17] udpate price: 096770.KS[2024-06-07 22:53:18] , row: 64
[2024-06-07 22:53:18] udpate price: 267260.KS[2024-06-07 22:53:20] , row: 44
[2024-06-07 22:53:20] udpate price: 009540.KS[2024-06-07 22:53:22] , row: 9
[2024-06-07 22:53:22] udpate price: 030200.KS[2024-06-07 22:53:23] , row: 9
[2024-06-07 22:53:23] udpate price: 042660.KS[2024-06-07 22:53:24] , row: 30
[2024-06-07 22:53:24] udpate price: 047050.KS[2024-06-07 22:53:25] , row: 64
[2024-06-07 22:53:25] udpate price: 352820.KS[2024-06-07 22:53:27] , row: 9
[2024-06-07 22:53:27] udpate price: 003490.KS[2024-06-07 22:53:28] , row: 64
[2024-06-07 22:53:28] udpate price: 010950.KS[2024-06-07 22:53:29] , row: 9
[2024-06-07 22:53:29] udpate price: 450080.KS[2024-06-07 22:53:31] , row: 9
[2024-06-07 22:53:31] udpate price: 005830.KS[2024-06-07 22:53:32] , row: 9
[2024-06-07 22:53:32] udpate price: 086280.KS[2024-06-07 22:53:33] , row: 9
[2024-06-07 22:53:33] udpate price: 000100.KS[2024-06-07 22:53:34] , row: 9
[2024-06-07 22:53:34] udpate price: 051900.KS[2024-06-07 22:53:36] , row: 9
[2024-06-07 22:53:36] udpate price: 443060.KS[2024-06-07 22:53:37] , row: 20
[2024-06-07 22:53:37] udpate price: 022100.KS[2024-06-07 22:53:39] , row: 64
[2024-06-07 22:53:39] udpate price: 011070.KS[2024-06-07 22:53:40] , row: 9
[2024-06-07 22:53:40] udpate price: 010120.KS[2024-06-07 22:53:41] , row: 9
[2024-06-07 22:53:41] udpate price: 005387.KS[2024-06-07 22:53:43] , row: 44
[2024-06-07 22:53:43] udpate price: 161390.KS[2024-06-07 22:53:44] , row: 9
[2024-06-07 22:53:44] udpate price: 088980.KS[2024-06-07 22:53:45] , row: 9
[2024-06-07 22:53:45] udpate price: 241560.KS[2024-06-07 22:53:47] , row: 9
[2024-06-07 22:53:47] udpate price: 267250.KS[2024-06-07 22:53:48] , row: 44
[2024-06-07 22:53:48] udpate price: 097950.KS[2024-06-07 22:53:49] , row: 64
[2024-06-07 22:53:49] udpate price: 047810.KS[2024-06-07 22:53:50] , row: 9
[2024-06-07 22:53:50] udpate price: 006260.KS[2024-06-07 22:53:52] , row: 64
[2024-06-07 22:53:52] udpate price: 028050.KS[2024-06-07 22:53:53] , row: 64
[2024-06-07 22:53:53] udpate price: 003230.KS[2024-06-07 22:53:54] , row: 64
[2024-06-07 22:53:54] udpate price: 029780.KS[2024-06-07 22:53:56] , row: 64
[2024-06-07 22:53:56] udpate price: 180640.KS[2024-06-07 22:53:57] , row: 9
[2024-06-07 22:53:57] udpate price: 006800.KS[2024-06-07 22:53:58] , row: 44
[2024-06-07 22:53:58] udpate price: 036570.KS[2024-06-07 22:53:59] , row: 9
[2024-06-07 22:53:59] udpate price: 021240.KS[2024-06-07 22:54:01] , row: 9
[2024-06-07 22:54:01] udpate price: 032640.KS[2024-06-07 22:54:02] , row: 44
[2024-06-07 22:54:02] udpate price: 064350.KS[2024-06-07 22:54:03] , row: 9
[2024-06-07 22:54:03] udpate price: 377300.KS[2024-06-07 22:54:04] , row: 64
[2024-06-07 22:54:04] udpate price: 302440.KS[2024-06-07 22:54:05] , row: 9
[2024-06-07 22:54:05] udpate price: 307950.KS[2024-06-07 22:54:07] , row: 9
[2024-06-07 22:54:07] udpate price: 011780.KS[2024-06-07 22:54:08] , row: 9
[2024-06-07 22:54:08] udpate price: 078930.KS[2024-06-07 22:54:09] , row: 64
[2024-06-07 22:54:09] udpate price: 004020.KS[2024-06-07 22:54:10] , row: 9
[2024-06-07 22:54:10] udpate price: 005940.KS[2024-06-07 22:54:11] , row: 64
[2024-06-07 22:54:11] udpate price: 071050.KS[2024-06-07 22:54:13] , row: 9
[2024-06-07 22:54:13] udpate price: 128940.KS[2024-06-07 22:54:14] , row: 9
[2024-06-07 22:54:14] udpate price: 079550.KS[2024-06-07 22:54:15] , row: 9
[2024-06-07 22:54:15] udpate price: 005385.KS[2024-06-07 22:54:16] , row: 64
[2024-06-07 22:54:16] udpate price: 001040.KS[2024-06-07 22:54:18] , row: 64
[2024-06-07 22:54:18] udpate price: 000720.KS[2024-06-07 22:54:19] , row: 9
[2024-06-07 22:54:19] udpate price: 271560.KS[2024-06-07 22:54:20] , row: 9
[2024-06-07 22:54:20] udpate price: 298040.KS[2024-06-07 22:54:21] , row: 64
[2024-06-07 22:54:21] udpate price: 039490.KS[2024-06-07 22:54:23] , row: 64
[2024-06-07 22:54:23] udpate price: 016360.KS[2024-06-07 22:54:24] , row: 44
[2024-06-07 22:54:24] udpate price: 272210.KS[2024-06-07 22:54:25] , row: 9
[2024-06-07 22:54:25] udpate price: 035250.KS[2024-06-07 22:54:26] , row: 9
[2024-06-07 22:54:26] udpate price: 007660.KS[2024-06-07 22:54:28] , row: 64
[2024-06-07 22:54:28] udpate price: 361610.KS[2024-06-07 22:54:29] , row: 9
[2024-06-07 22:54:29] udpate price: 003410.KS[2024-06-07 22:54:30] , row: 64
[2024-06-07 22:54:30] udpate price: 001450.KS[2024-06-07 22:54:32] , row: 9
[2024-06-07 22:54:32] udpate price: 001440.KS[2024-06-07 22:54:33] , row: 9
[2024-06-07 22:54:33] udpate price: 002790.KS[2024-06-07 22:54:34] , row: 9
[2024-06-07 22:54:34] udpate price: 004370.KS[2024-06-07 22:54:35] , row: 9
[2024-06-07 22:54:35] udpate price: 175330.KS[2024-06-07 22:54:36] , row: 9
[2024-06-07 22:54:36] udpate price: 018880.KS[2024-06-07 22:54:38] , row: 44
