[2024-03-31 15:34:54] udpate moving average: SRDX, row: 688
[2024-03-31 15:34:57] udpate moving average: BML PR G, row: 0
[2024-03-31 15:35:00] udpate moving average: WINV, row: 625
[2024-03-31 15:35:01] udpate moving average: AQUNU, row: 373
[2024-03-31 15:35:03] udpate moving average: AIMD, row: 688
[2024-03-31 15:35:05] udpate moving average: RGA, row: 688
[2024-03-31 15:35:07] udpate moving average: 900260.KQ[2024-03-31 15:39:41] udpate moving average: SRDX, row: 0
[2024-03-31 15:39:42] udpate moving average: BML PR G, row: 0
[2024-03-31 15:39:45] udpate moving average: WINV, row: 0
[2024-03-31 15:39:46] udpate moving average: AQUNU, row: 0
[2024-03-31 15:39:46] udpate moving average: AIMD, row: 0
[2024-03-31 15:39:47] udpate moving average: RGA, row: 0
[2024-03-31 15:39:47] udpate moving average: 900260.KQ[2024-03-31 15:41:41] udpate moving average: SRDX, row: 0
[2024-03-31 15:41:43] udpate moving average: BML PR G, row: 0
[2024-03-31 15:41:45] udpate moving average: WINV, row: 0
[2024-03-31 15:41:46] udpate moving average: AQUNU, row: 0
[2024-03-31 15:41:46] udpate moving average: AIMD, row: 0
[2024-03-31 15:41:47] udpate moving average: RGA, row: 0
[2024-03-31 15:41:47] udpate moving average: 900260.KQ, row: None
[2024-03-31 15:41:48] udpate moving average: VYGR, row: 688
[2024-03-31 15:41:50] udpate moving average: RMR, row: 688
[2024-03-31 15:41:52] udpate moving average: 377190.KS, row: 635
[2024-03-31 15:41:54] udpate moving average: UE, row: 688
[2024-03-31 15:41:56] udpate moving average: ASND, row: 688
[2024-03-31 15:41:58] udpate moving average: 239890.KQ, row: 670
[2024-03-31 15:42:00] udpate moving average: RCS, row: 688
[2024-03-31 15:42:02] udpate moving average: SLAMU, row: 688
[2024-03-31 15:42:03] udpate moving average: 191410.KQ, row: 667
[2024-03-31 15:42:05] udpate moving average: NIM, row: 688
[2024-03-31 15:42:07] udpate moving average: STG, row: 688
[2024-03-31 15:42:09] udpate moving average: CRVL, row: 688
[2024-03-31 15:42:11] udpate moving average: VTMX, row: 188
[2024-03-31 15:42:12] udpate moving average: FLUT, row: 688
[2024-03-31 15:42:14] udpate moving average: AQB, row: 688
[2024-03-31 15:42:16] udpate moving average: PWM, row: 184
[2024-03-31 15:42:17] udpate moving average: AGNCN, row: 688
[2024-03-31 15:42:19] udpate moving average: 054630.KQ, row: 670
[2024-03-31 15:42:21] udpate moving average: AISP, row: 66
[2024-03-31 15:42:22] udpate moving average: SCRM, row: 523
[2024-03-31 15:42:23] udpate moving average: 043340.KQ, row: 666
[2024-03-31 15:42:25] udpate moving average: JSM, row: 688
[2024-03-31 15:42:27] udpate moving average: TER, row: 688
[2024-03-31 15:42:29] udpate moving average: AMST, row: 688
[2024-03-31 15:42:31] udpate moving average: VRSN, row: 688
[2024-03-31 15:42:32] udpate moving average: RILYK, row: 688
[2024-03-31 15:42:34] udpate moving average: 101330.KQ, row: 669
[2024-03-31 15:42:36] udpate moving average: MEC, row: 688
[2024-03-31 15:42:38] udpate moving average: BTE, row: 688
[2024-03-31 15:42:40] udpate moving average: NFG, row: 688
[2024-03-31 15:42:42] udpate moving average: ELC, row: 674
[2024-03-31 15:42:44] udpate moving average: 082920.KQ, row: 670
[2024-03-31 15:42:45] udpate moving average: 264900.KS, row: 672
[2024-03-31 15:42:47] udpate moving average: KTOS, row: 688
[2024-03-31 15:42:49] udpate moving average: SAGE, row: 688
[2024-03-31 15:42:51] udpate moving average: NUE, row: 688
[2024-03-31 15:42:53] udpate moving average: MBINN, row: 688
[2024-03-31 15:42:55] udpate moving average: KLTR, row: 677
[2024-03-31 15:42:56] udpate moving average: 065770.KQ, row: 663
[2024-03-31 15:42:58] udpate moving average: PRO, row: 688
[2024-03-31 15:43:00] udpate moving average: BEAT, row: 597
[2024-03-31 15:43:02] udpate moving average: HRB, row: 688
[2024-03-31 15:43:04] udpate moving average: MSBIP, row: 398
[2024-03-31 15:43:05] udpate moving average: PLAO, row: 478
[2024-03-31 15:43:07] udpate moving average: JBLU, row: 688
[2024-03-31 15:43:09] udpate moving average: 038950.KQ, row: 665
[2024-03-31 15:43:11] udpate moving average: 005670.KQ, row: 663
[2024-03-31 15:43:13] udpate moving average: SRTS, row: 688
[2024-03-31 15:43:14] udpate moving average: 217820.KQ, row: 670
[2024-03-31 15:43:16] udpate moving average: AUB PR A, row: 0
[2024-03-31 15:43:19] udpate moving average: GRX, row: 688
[2024-03-31 15:43:21] udpate moving average: USB PR S, row: 0
[2024-03-31 15:43:23] udpate moving average: CLPR, row: 688
[2024-03-31 15:43:25] udpate moving average: IVR, row: 688
[2024-03-31 15:43:27] udpate moving average: MWA, row: 688
[2024-03-31 15:43:29] udpate moving average: DLHC, row: 688
[2024-03-31 15:43:31] udpate moving average: ENIC, row: 688
[2024-03-31 15:43:33] udpate moving average: VSAT, row: 688
[2024-03-31 15:43:35] udpate moving average: AMH, row: 688
[2024-03-31 15:43:37] udpate moving average: FHTX, row: 688
[2024-03-31 15:43:39] udpate moving average: 072710.KS, row: 672
[2024-03-31 15:43:41] udpate moving average: 001290.KS, row: 672
[2024-03-31 15:43:42] udpate moving average: TRTN PR B, row: 0
[2024-03-31 15:43:44] udpate moving average: 140520.KQ, row: 668
[2024-03-31 15:43:46] udpate moving average: GF, row: 688
[2024-03-31 15:43:48] udpate moving average: TPVG, row: 688
[2024-03-31 15:43:50] udpate moving average: PAI, row: 688
[2024-03-31 15:43:52] udpate moving average: 278470.KS, row: 23
[2024-03-31 15:43:53] udpate moving average: WSR, row: 688
[2024-03-31 15:43:55] udpate moving average: 009680.KS, row: 672
[2024-03-31 15:43:57] udpate moving average: PFGC, row: 688
[2024-03-31 15:43:59] udpate moving average: 348210.KQ, row: 670
[2024-03-31 15:44:01] udpate moving average: 036480.KQ, row: 670
[2024-03-31 15:44:03] udpate moving average: GDS, row: 688
[2024-03-31 15:44:05] udpate moving average: PCRX, row: 688
[2024-03-31 15:44:07] udpate moving average: BBD, row: 688
[2024-03-31 15:44:09] udpate moving average: PMO, row: 688
[2024-03-31 15:44:11] udpate moving average: DDL, row: 688
[2024-03-31 15:44:13] udpate moving average: VLD, row: 625
[2024-03-31 15:44:14] udpate moving average: WTMAU, row: 566
[2024-03-31 15:44:16] udpate moving average: IVCAU, row: 474
[2024-03-31 15:44:18] udpate moving average: SVMH, row: 75
[2024-03-31 15:44:19] udpate moving average: VITL, row: 688
[2024-03-31 15:44:21] udpate moving average: 091340.KQ, row: 669
[2024-03-31 15:44:22] udpate moving average: MAQCU, row: 688
[2024-03-31 15:44:24] udpate moving average: GRMN, row: 688
[2024-03-31 15:44:26] udpate moving average: RVLV, row: 688
[2024-03-31 15:44:28] udpate moving average: ETJ, row: 688
[2024-03-31 15:44:30] udpate moving average: CTSH, row: 688
[2024-03-31 15:44:31] udpate moving average: MMC, row: 688
[2024-03-31 15:44:33] udpate moving average: 140410.KQ, row: 670
[2024-03-31 15:44:35] udpate moving average: TLSI, row: 159
[2024-03-31 15:44:37] udpate moving average: 297090.KQ, row: 671
[2024-03-31 15:44:38] udpate moving average: LBRT, row: 688
[2024-03-31 15:44:40] udpate moving average: 039200.KQ, row: 670
[2024-03-31 15:44:42] udpate moving average: FBLG, row: 36
[2024-03-31 15:44:43] udpate moving average: MIGI, row: 688
[2024-03-31 15:44:45] udpate moving average: PHI, row: 688
