[2024-07-11 21:41:02] Try to insert 1309 codes
[2024-07-11 21:41:06] udpate price: 900340.KQ, row: 3
[2024-07-11 21:41:08] udpate price: 226400.KQ, row: 3
[2024-07-11 21:41:09] udpate price: 114630.KQ, row: 3
[2024-07-11 21:41:11] udpate price: 229000.KQ, row: 3
[2024-07-11 21:41:12] udpate price: 122990.KQ, row: 3
[2024-07-11 21:41:14] udpate price: 089140.KQ, row: 3
[2024-07-11 21:41:16] udpate price: 041460.KQ, row: 3
[2024-07-11 21:41:17] udpate price: 035890.KQ, row: 3
[2024-07-11 21:41:19] udpate price: 066310.KQ, row: 3
[2024-07-11 21:41:20] udpate price: 051780.KQ, row: 3
[2024-07-11 21:41:22] udpate price: 032680.KQ, row: 3
[2024-07-11 21:41:24] udpate price: 232680.KQ, row: 3
[2024-07-11 21:41:25] udpate price: 003800.KQ, row: 3
[2024-07-11 21:41:26] udpate price: 071280.KQ, row: 3
[2024-07-11 21:41:28] udpate price: 467930.KQ, row: 3
[2024-07-11 21:41:30] udpate price: 277410.KQ, row: 3
[2024-07-11 21:41:31] udpate price: 072520.KQ, row: 3
[2024-07-11 21:41:33] udpate price: 039420.KQ, row: 3
[2024-07-11 21:41:34] udpate price: 048910.KQ, row: 3
[2024-07-11 21:41:35] udpate price: 127980.KQ, row: 3
[2024-07-11 21:41:37] udpate price: 048870.KQ, row: 3
[2024-07-11 21:41:38] udpate price: 340570.KQ, row: 3
[2024-07-11 21:41:40] udpate price: 131970.KQ, row: 3
[2024-07-11 21:41:42] udpate price: 054780.KQ, row: 3
[2024-07-11 21:41:43] udpate price: 051160.KQ, row: 3
[2024-07-11 21:41:44] udpate price: 353810.KQ, row: 3
[2024-07-11 21:41:46] udpate price: 039020.KQ, row: 3
[2024-07-11 21:41:47] udpate price: 039830.KQ, row: 3
[2024-07-11 21:41:48] udpate price: 094360.KQ, row: 3
[2024-07-11 21:41:50] udpate price: 407400.KQ, row: 3
[2024-07-11 21:41:51] udpate price: 311690.KQ, row: 3
[2024-07-11 21:41:53] udpate price: 092070.KQ, row: 3
[2024-07-11 21:41:54] udpate price: 199550.KQ, row: 3
[2024-07-11 21:41:56] udpate price: 038880.KQ, row: 3
[2024-07-11 21:41:57] udpate price: 241790.KQ, row: 3
[2024-07-11 21:41:59] udpate price: 214870.KQ, row: 3
[2024-07-11 21:42:00] udpate price: 008290.KQ, row: 3
[2024-07-11 21:42:02] udpate price: 208370.KQ, row: 3
[2024-07-11 21:42:03] udpate price: 027050.KQ, row: 3
[2024-07-11 21:42:05] udpate price: 136480.KQ, row: 3
[2024-07-11 21:42:07] udpate price: 006920.KQ, row: 3
[2024-07-11 21:42:08] udpate price: 039440.KQ, row: 3
[2024-07-11 21:42:09] udpate price: 138580.KQ, row: 3
[2024-07-11 21:42:11] udpate price: 001540.KQ, row: 3
[2024-07-11 21:42:12] udpate price: 136410.KQ, row: 3
[2024-07-11 21:42:14] udpate price: 200670.KQ, row: 3
[2024-07-11 21:42:15] udpate price: 064760.KQ, row: 3
[2024-07-11 21:42:17] udpate price: 142280.KQ, row: 3
[2024-07-11 21:42:18] udpate price: 094970.KQ, row: 3
[2024-07-11 21:42:19] udpate price: 305090.KQ, row: 3
[2024-07-11 21:42:21] udpate price: 440790.KQ, row: 3
[2024-07-11 21:42:22] udpate price: 060150.KQ, row: 3
[2024-07-11 21:42:24] udpate price: 004780.KQ, row: 3
[2024-07-11 21:42:25] udpate price: 032850.KQ, row: 3
[2024-07-11 21:42:27] udpate price: 442770.KQ, row: 3
[2024-07-11 21:42:28] udpate price: 310210.KQ, row: 3
[2024-07-11 21:42:30] udpate price: 900070.KQ, row: 3
[2024-07-11 21:42:31] udpate price: 900260.KQ, row: 3
[2024-07-11 21:42:32] udpate price: 038110.KQ, row: 3
[2024-07-11 21:42:33] udpate price: 198080.KQ, row: 3
[2024-07-11 21:42:35] udpate price: 307280.KQ, row: 3
[2024-07-11 21:42:39] udpate price: 065560.KQ, row: 0
[2024-07-11 21:42:40] udpate price: 263770.KQ, row: 3
[2024-07-11 21:42:42] udpate price: 007370.KQ, row: 3
[2024-07-11 21:42:43] udpate price: 067570.KQ, row: 3
[2024-07-11 21:42:44] udpate price: 057030.KQ, row: 3
[2024-07-11 21:42:45] udpate price: 239890.KQ, row: 3
[2024-07-11 21:42:47] udpate price: 191410.KQ, row: 3
[2024-07-11 21:42:48] udpate price: 310870.KQ, row: 3
[2024-07-11 21:42:50] udpate price: 101930.KQ, row: 3
[2024-07-11 21:42:51] udpate price: 315640.KQ, row: 3
[2024-07-11 21:42:53] udpate price: 241690.KQ, row: 3
[2024-07-11 21:42:54] udpate price: 014620.KQ, row: 3
[2024-07-11 21:42:55] udpate price: 012340.KQ, row: 3
[2024-07-11 21:42:56] udpate price: 023910.KQ, row: 3
[2024-07-11 21:42:59] udpate price: 263540.KQ, row: 0
[2024-07-11 21:43:00] udpate price: 005710.KQ, row: 3
[2024-07-11 21:43:02] udpate price: 158430.KQ, row: 3
[2024-07-11 21:43:03] udpate price: 425040.KQ, row: 3
[2024-07-11 21:43:05] udpate price: 900290.KQ, row: 3
[2024-07-11 21:43:06] udpate price: 101330.KQ, row: 3
[2024-07-11 21:43:07] udpate price: 950170.KQ, row: 3
[2024-07-11 21:43:09] udpate price: 119500.KQ, row: 3
[2024-07-11 21:43:10] udpate price: 082920.KQ, row: 3
[2024-07-11 21:43:12] udpate price: 373170.KQ, row: 3
[2024-07-11 21:43:13] udpate price: 034950.KQ, row: 3
[2024-07-11 21:43:14] udpate price: 417500.KQ, row: 3
[2024-07-11 21:43:16] udpate price: 210120.KQ, row: 3
[2024-07-11 21:43:17] udpate price: 030520.KQ, row: 3
[2024-07-11 21:43:18] udpate price: 469480.KQ, row: 3
[2024-07-11 21:43:20] udpate price: 299910.KQ, row: 3
[2024-07-11 21:43:21] udpate price: 065770.KQ, row: 3
[2024-07-11 21:43:22] udpate price: 372800.KQ, row: 3
[2024-07-11 21:43:24] udpate price: 445180.KQ, row: 3
[2024-07-11 21:43:25] udpate price: 474660.KQ, row: 3
[2024-07-11 21:43:26] udpate price: 048470.KQ, row: 3
[2024-07-11 21:43:28] udpate price: 319400.KQ, row: 3
[2024-07-11 21:43:29] udpate price: 005990.KQ, row: 3
[2024-07-11 21:43:30] udpate price: 038950.KQ, row: 3
[2024-07-11 21:43:31] udpate price: 005670.KQ, row: 3
[2024-07-11 21:43:33] udpate price: 064550.KQ, row: 3
[2024-07-11 21:43:34] udpate price: 043610.KQ, row: 3
[2024-07-11 21:43:35] udpate price: 052330.KQ, row: 3
[2024-07-11 21:43:37] udpate price: 126340.KQ, row: 3
[2024-07-11 21:43:38] udpate price: 234690.KQ, row: 3
[2024-07-11 21:43:39] udpate price: 023760.KQ, row: 3
[2024-07-11 21:43:41] udpate price: 199730.KQ, row: 3
[2024-07-11 21:43:42] udpate price: 107640.KQ, row: 3
[2024-07-11 21:43:43] udpate price: 010240.KQ, row: 3
[2024-07-11 21:43:44] udpate price: 019540.KQ, row: 3
[2024-07-11 21:43:46] udpate price: 402490.KQ, row: 3
[2024-07-11 21:43:47] udpate price: 041190.KQ, row: 3
[2024-07-11 21:43:48] udpate price: 049630.KQ, row: 3
[2024-07-11 21:43:49] udpate price: 082270.KQ, row: 3
[2024-07-11 21:43:51] udpate price: 098660.KQ, row: 3
[2024-07-11 21:43:52] udpate price: 023790.KQ, row: 3
[2024-07-11 21:43:53] udpate price: 066620.KQ, row: 3
[2024-07-11 21:43:54] udpate price: 322510.KQ, row: 3
[2024-07-11 21:43:56] udpate price: 383310.KQ, row: 3
[2024-07-11 21:43:57] udpate price: 378340.KQ, row: 3
[2024-07-11 21:43:58] udpate price: 376290.KQ, row: 3
[2024-07-11 21:43:59] udpate price: 147830.KQ, row: 3
[2024-07-11 21:44:01] udpate price: 290550.KQ, row: 3
[2024-07-11 21:44:02] udpate price: 348210.KQ, row: 3
[2024-07-11 21:44:03] udpate price: 093320.KQ, row: 3
[2024-07-11 21:44:05] udpate price: 044490.KQ, row: 3
[2024-07-11 21:44:06] udpate price: 900250.KQ, row: 3
[2024-07-11 21:44:07] udpate price: 020710.KQ, row: 3
[2024-07-11 21:44:09] udpate price: 053080.KQ, row: 3
[2024-07-11 21:44:10] udpate price: 900110.KQ, row: 3
[2024-07-11 21:44:11] udpate price: 227950.KQ, row: 3
[2024-07-11 21:44:12] udpate price: 900310.KQ, row: 3
[2024-07-11 21:44:13] udpate price: 091340.KQ, row: 3
[2024-07-11 21:44:15] udpate price: 100660.KQ, row: 3
[2024-07-11 21:44:16] udpate price: 078160.KQ, row: 3
[2024-07-11 21:44:18] udpate price: 365330.KQ, row: 3
[2024-07-11 21:44:19] udpate price: 376300.KQ, row: 3
[2024-07-11 21:44:20] udpate price: 089530.KQ, row: 3
[2024-07-11 21:44:22] udpate price: 072020.KQ, row: 3
[2024-07-11 21:44:23] udpate price: 138080.KQ, row: 3
[2024-07-11 21:44:24] udpate price: 078890.KQ, row: 3
[2024-07-11 21:44:26] udpate price: 140410.KQ, row: 3
[2024-07-11 21:44:27] udpate price: 403870.KQ, row: 3
[2024-07-11 21:44:28] udpate price: 445360.KQ, row: 3
[2024-07-11 21:44:30] udpate price: 044340.KQ, row: 3
[2024-07-11 21:44:31] udpate price: 039200.KQ, row: 3
[2024-07-11 21:44:33] udpate price: 360350.KQ, row: 3
[2024-07-11 21:44:35] udpate price: 115310.KQ, row: 3
[2024-07-11 21:44:36] udpate price: 102940.KQ, row: 3
[2024-07-11 21:44:38] udpate price: 263750.KQ, row: 3
[2024-07-11 21:44:39] udpate price: 100030.KQ, row: 3
[2024-07-11 21:44:41] udpate price: 140860.KQ, row: 3
[2024-07-11 21:44:42] udpate price: 060230.KQ, row: 3
[2024-07-11 21:44:44] udpate price: 115440.KQ, row: 3
[2024-07-11 21:44:46] udpate price: 413640.KQ, row: 3
[2024-07-11 21:44:48] udpate price: 057540.KQ, row: 3
[2024-07-11 21:44:49] udpate price: 065420.KQ, row: 3
[2024-07-11 21:44:51] udpate price: 237690.KQ, row: 3
[2024-07-11 21:44:52] udpate price: 033540.KQ, row: 3
[2024-07-11 21:44:54] udpate price: 074600.KQ, row: 3
[2024-07-11 21:44:55] udpate price: 079960.KQ, row: 3
[2024-07-11 21:44:56] udpate price: 053950.KQ, row: 0
[2024-07-11 21:45:01] udpate price: 178780.KQ, row: 0
[2024-07-11 21:45:03] udpate price: 036640.KQ, row: 3
[2024-07-11 21:45:04] udpate price: 053980.KQ, row: 3
[2024-07-11 21:45:06] udpate price: 000250.KQ, row: 3
[2024-07-11 21:45:07] udpate price: 126640.KQ, row: 3
[2024-07-11 21:45:08] udpate price: 290270.KQ, row: 3
[2024-07-11 21:45:10] udpate price: 192390.KQ, row: 3
[2024-07-11 21:45:12] udpate price: 018680.KQ, row: 3
[2024-07-11 21:45:13] udpate price: 217500.KQ, row: 3
[2024-07-11 21:45:14] udpate price: 114810.KQ, row: 3
[2024-07-11 21:45:16] udpate price: 032280.KQ, row: 3
[2024-07-11 21:45:17] udpate price: 064820.KQ, row: 3
[2024-07-11 21:45:19] udpate price: 083640.KQ, row: 3
[2024-07-11 21:45:20] udpate price: 144960.KQ, row: 3
[2024-07-11 21:45:21] udpate price: 047560.KQ, row: 3
[2024-07-11 21:45:23] udpate price: 405920.KQ, row: 3
[2024-07-11 21:45:24] udpate price: 025770.KQ, row: 3
[2024-07-11 21:45:26] udpate price: 252500.KQ, row: 3
[2024-07-11 21:45:27] udpate price: 232140.KQ, row: 3
[2024-07-11 21:45:28] udpate price: 418210.KQ, row: 3
[2024-07-11 21:45:30] udpate price: 263720.KQ, row: 3
[2024-07-11 21:45:32] udpate price: 043220.KQ, row: 3
[2024-07-11 21:45:33] udpate price: 021320.KQ, row: 3
[2024-07-11 21:45:35] udpate price: 049070.KQ, row: 3
[2024-07-11 21:45:37] udpate price: 053050.KQ, row: 3
[2024-07-11 21:45:39] udpate price: 298830.KQ, row: 3
[2024-07-11 21:45:41] udpate price: 095340.KQ, row: 3
[2024-07-11 21:45:43] udpate price: 217190.KQ, row: 3
[2024-07-11 21:45:45] udpate price: 236200.KQ, row: 3
[2024-07-11 21:45:47] udpate price: 035460.KQ, row: 3
[2024-07-11 21:45:49] udpate price: 104540.KQ, row: 3
[2024-07-11 21:45:50] udpate price: 301300.KQ, row: 3
[2024-07-11 21:45:52] udpate price: 122690.KQ, row: 3
[2024-07-11 21:45:53] udpate price: 041920.KQ, row: 3
[2024-07-11 21:45:55] udpate price: 067010.KQ, row: 3
[2024-07-11 21:45:56] udpate price: 469880.KQ, row: 3
[2024-07-11 21:45:58] udpate price: 094860.KQ, row: 3
[2024-07-11 21:46:00] udpate price: 039240.KQ, row: 3
[2024-07-11 21:46:01] udpate price: 021045.KQ, row: 3
[2024-07-11 21:46:03] udpate price: 452980.KQ, row: 3
[2024-07-11 21:46:04] udpate price: 093640.KQ, row: 3
[2024-07-11 21:46:06] udpate price: 039340.KQ, row: 3
[2024-07-11 21:46:07] udpate price: 413630.KQ, row: 0
[2024-07-11 21:46:08] udpate price: 174900.KQ, row: 3
[2024-07-11 21:46:13] udpate price: 452430.KQ, row: 3
[2024-07-11 21:46:17] udpate price: 130500.KQ, row: 3
[2024-07-11 21:46:20] udpate price: 023460.KQ, row: 3
[2024-07-11 21:46:24] udpate price: 204270.KQ, row: 3
[2024-07-11 21:46:27] udpate price: 111870.KQ, row: 3
[2024-07-11 21:46:32] udpate price: 078590.KQ, row: 3
[2024-07-11 21:46:35] udpate price: 065060.KQ, row: 3
[2024-07-11 21:46:36] udpate price: 035900.KQ, row: 3
[2024-07-11 21:46:38] udpate price: 005160.KQ, row: 3
[2024-07-11 21:46:39] udpate price: 050120.KQ, row: 3
[2024-07-11 21:46:41] udpate price: 200710.KQ, row: 3
[2024-07-11 21:46:42] udpate price: 214370.KQ, row: 3
[2024-07-11 21:46:43] udpate price: 121800.KQ, row: 3
[2024-07-11 21:46:45] udpate price: 014970.KQ, row: 3
[2024-07-11 21:46:46] udpate price: 241520.KQ, row: 3
[2024-07-11 21:46:47] udpate price: 141000.KQ, row: 3
[2024-07-11 21:46:49] udpate price: 218410.KQ, row: 3
[2024-07-11 21:46:50] udpate price: 478440.KQ, row: 3
[2024-07-11 21:46:51] udpate price: 213420.KQ, row: 3
[2024-07-11 21:46:52] udpate price: 223250.KQ, row: 3
[2024-07-11 21:46:54] udpate price: 435620.KQ, row: 3
[2024-07-11 21:46:55] udpate price: 320000.KQ, row: 3
[2024-07-11 21:46:56] udpate price: 123040.KQ, row: 3
[2024-07-11 21:46:58] udpate price: 318020.KQ, row: 3
[2024-07-11 21:46:59] udpate price: 452670.KQ, row: 3
[2024-07-11 21:47:00] udpate price: 340810.KQ, row: 3
[2024-07-11 21:47:05] udpate price: 038340.KQ, row: 0
[2024-07-11 21:47:06] udpate price: 006910.KQ, row: 3
[2024-07-11 21:47:08] udpate price: 070590.KQ, row: 3
[2024-07-11 21:47:09] udpate price: 038060.KQ, row: 3
[2024-07-11 21:47:10] udpate price: 018620.KQ, row: 3
[2024-07-11 21:47:12] udpate price: 047310.KQ, row: 3
[2024-07-11 21:47:13] udpate price: 053030.KQ, row: 3
[2024-07-11 21:47:14] udpate price: 298540.KQ, row: 3
[2024-07-11 21:47:16] udpate price: 052600.KQ, row: 3
[2024-07-11 21:47:17] udpate price: 337930.KQ, row: 3
[2024-07-11 21:47:18] udpate price: 086520.KQ, row: 3
[2024-07-11 21:47:19] udpate price: 013030.KQ, row: 3
[2024-07-11 21:47:21] udpate price: 131290.KQ, row: 3
[2024-07-11 21:47:22] udpate price: 014100.KQ, row: 3
[2024-07-11 21:47:24] udpate price: 219750.KQ, row: 0
[2024-07-11 21:47:26] udpate price: 019010.KQ, row: 3
[2024-07-11 21:47:27] udpate price: 250000.KQ, row: 3
[2024-07-11 21:47:28] udpate price: 454640.KQ, row: 3
[2024-07-11 21:47:30] udpate price: 109960.KQ, row: 3
[2024-07-11 21:47:31] udpate price: 352910.KQ, row: 3
[2024-07-11 21:47:32] udpate price: 095700.KQ, row: 3
[2024-07-11 21:47:34] udpate price: 241840.KQ, row: 3
[2024-07-11 21:47:35] udpate price: 432720.KQ, row: 3
[2024-07-11 21:47:36] udpate price: 032300.KQ, row: 3
[2024-07-11 21:47:38] udpate price: 211270.KQ, row: 3
[2024-07-11 21:47:39] udpate price: 356860.KQ, row: 3
[2024-07-11 21:47:40] udpate price: 448280.KQ, row: 3
[2024-07-11 21:47:41] udpate price: 067730.KQ, row: 3
[2024-07-11 21:47:43] udpate price: 445680.KQ, row: 3
[2024-07-11 21:47:44] udpate price: 308080.KQ, row: 3
[2024-07-11 21:47:45] udpate price: 215600.KQ, row: 3
[2024-07-11 21:47:47] udpate price: 464080.KQ, row: 3
[2024-07-11 21:47:48] udpate price: 178320.KQ, row: 3
[2024-07-11 21:47:49] udpate price: 256940.KQ, row: 3
[2024-07-11 21:47:50] udpate price: 058820.KQ, row: 3
[2024-07-11 21:47:52] udpate price: 104830.KQ, row: 3
