[2024-07-11 21:41:02] Try to insert 706 codes
[2024-07-11 21:41:06] udpate price: 000020.KS, row: 3
[2024-07-11 21:41:08] udpate price: 000070.KS, row: 3
[2024-07-11 21:41:09] udpate price: 000075.KS, row: 3
[2024-07-11 21:41:11] udpate price: 000080.KS, row: 3
[2024-07-11 21:41:12] udpate price: 000087.KS, row: 3
[2024-07-11 21:41:14] udpate price: 000100.KS, row: 3
[2024-07-11 21:41:16] udpate price: 000105.KS, row: 3
[2024-07-11 21:41:17] udpate price: 000120.KS, row: 3
[2024-07-11 21:41:19] udpate price: 000140.KS, row: 3
[2024-07-11 21:41:21] udpate price: 000145.KS, row: 3
[2024-07-11 21:41:22] udpate price: 000240.KS, row: 3
[2024-07-11 21:41:24] udpate price: 000270.KS, row: 3
[2024-07-11 21:41:25] udpate price: 000300.KS, row: 3
[2024-07-11 21:41:26] udpate price: 000320.KS, row: 3
[2024-07-11 21:41:28] udpate price: 000325.KS, row: 3
[2024-07-11 21:41:30] udpate price: 000370.KS, row: 3
[2024-07-11 21:41:31] udpate price: 000390.KS, row: 3
[2024-07-11 21:41:33] udpate price: 000400.KS, row: 3
[2024-07-11 21:41:34] udpate price: 000430.KS, row: 3
[2024-07-11 21:41:35] udpate price: 000480.KS, row: 3
[2024-07-11 21:41:37] udpate price: 000490.KS, row: 3
[2024-07-11 21:41:38] udpate price: 000500.KS, row: 3
[2024-07-11 21:41:40] udpate price: 000540.KS, row: 3
[2024-07-11 21:41:41] udpate price: 000545.KS, row: 3
[2024-07-11 21:41:43] udpate price: 000590.KS, row: 3
[2024-07-11 21:41:44] udpate price: 000640.KS, row: 3
[2024-07-11 21:41:45] udpate price: 000700.KS, row: 3
[2024-07-11 21:41:47] udpate price: 000720.KS, row: 3
[2024-07-11 21:41:48] udpate price: 000725.KS, row: 3
[2024-07-11 21:41:50] udpate price: 000810.KS, row: 3
[2024-07-11 21:41:51] udpate price: 000815.KS, row: 3
[2024-07-11 21:41:53] udpate price: 000850.KS, row: 3
[2024-07-11 21:41:54] udpate price: 000860.KS, row: 3
[2024-07-11 21:41:56] udpate price: 000970.KS, row: 3
[2024-07-11 21:41:57] udpate price: 000990.KS, row: 3
[2024-07-11 21:41:59] udpate price: 001020.KS, row: 3
[2024-07-11 21:42:00] udpate price: 001040.KS, row: 3
[2024-07-11 21:42:02] udpate price: 001045.KS, row: 3
[2024-07-11 21:42:03] udpate price: 00104K.KS, row: 3
[2024-07-11 21:42:05] udpate price: 001060.KS, row: 3
[2024-07-11 21:42:06] udpate price: 001065.KS, row: 3
[2024-07-11 21:42:08] udpate price: 001067.KS, row: 3
[2024-07-11 21:42:09] udpate price: 001080.KS, row: 3
[2024-07-11 21:42:11] udpate price: 001120.KS, row: 3
[2024-07-11 21:42:12] udpate price: 001130.KS, row: 3
[2024-07-11 21:42:14] udpate price: 001200.KS, row: 3
[2024-07-11 21:42:15] udpate price: 001230.KS, row: 3
[2024-07-11 21:42:17] udpate price: 001250.KS, row: 3
[2024-07-11 21:42:18] udpate price: 001260.KS, row: 3
[2024-07-11 21:42:20] udpate price: 001270.KS, row: 3
[2024-07-11 21:42:21] udpate price: 001275.KS, row: 3
[2024-07-11 21:42:23] udpate price: 001340.KS, row: 3
[2024-07-11 21:42:24] udpate price: 001380.KS, row: 3
[2024-07-11 21:42:25] udpate price: 001390.KS, row: 3
[2024-07-11 21:42:27] udpate price: 001420.KS, row: 3
[2024-07-11 21:42:28] udpate price: 001430.KS, row: 3
[2024-07-11 21:42:30] udpate price: 001440.KS, row: 3
[2024-07-11 21:42:31] udpate price: 001450.KS, row: 3
[2024-07-11 21:42:33] udpate price: 001460.KS, row: 3
[2024-07-11 21:42:34] udpate price: 001465.KS, row: 3
[2024-07-11 21:42:35] udpate price: 001500.KS, row: 3
[2024-07-11 21:42:36] udpate price: 001520.KS, row: 3
[2024-07-11 21:42:38] udpate price: 001525.KS, row: 3
[2024-07-11 21:42:39] udpate price: 001527.KS, row: 3
[2024-07-11 21:42:40] udpate price: 001530.KS, row: 3
[2024-07-11 21:42:42] udpate price: 001560.KS, row: 3
[2024-07-11 21:42:43] udpate price: 001620.KS, row: 3
[2024-07-11 21:42:44] udpate price: 001630.KS, row: 3
[2024-07-11 21:42:45] udpate price: 001680.KS, row: 3
[2024-07-11 21:42:47] udpate price: 001685.KS, row: 3
[2024-07-11 21:42:48] udpate price: 001720.KS, row: 3
[2024-07-11 21:42:50] udpate price: 001740.KS, row: 3
[2024-07-11 21:42:51] udpate price: 001750.KS, row: 3
[2024-07-11 21:42:52] udpate price: 001755.KS, row: 3
[2024-07-11 21:42:54] udpate price: 001780.KS, row: 3
[2024-07-11 21:42:55] udpate price: 001790.KS, row: 3
[2024-07-11 21:42:56] udpate price: 001795.KS, row: 3
[2024-07-11 21:42:58] udpate price: 001800.KS, row: 3
[2024-07-11 21:42:59] udpate price: 001820.KS, row: 3
[2024-07-11 21:43:01] udpate price: 001940.KS, row: 3
[2024-07-11 21:43:02] udpate price: 002030.KS, row: 3
[2024-07-11 21:43:03] udpate price: 002100.KS, row: 3
[2024-07-11 21:43:05] udpate price: 002140.KS, row: 3
[2024-07-11 21:43:06] udpate price: 002150.KS, row: 3
[2024-07-11 21:43:08] udpate price: 002170.KS, row: 3
[2024-07-11 21:43:09] udpate price: 002200.KS, row: 3
[2024-07-11 21:43:10] udpate price: 002210.KS, row: 3
[2024-07-11 21:43:12] udpate price: 002240.KS, row: 3
[2024-07-11 21:43:13] udpate price: 002310.KS, row: 3
[2024-07-11 21:43:15] udpate price: 002320.KS, row: 3
[2024-07-11 21:43:16] udpate price: 002350.KS, row: 3
[2024-07-11 21:43:18] udpate price: 002355.KS, row: 3
[2024-07-11 21:43:19] udpate price: 002380.KS, row: 3
[2024-07-11 21:43:20] udpate price: 002450.KS, row: 3
[2024-07-11 21:43:21] udpate price: 002460.KS, row: 3
[2024-07-11 21:43:23] udpate price: 002600.KS, row: 3
[2024-07-11 21:43:24] udpate price: 002700.KS, row: 3
[2024-07-11 21:43:26] udpate price: 002710.KS, row: 3
[2024-07-11 21:43:27] udpate price: 002760.KS, row: 3
[2024-07-11 21:43:28] udpate price: 002780.KS, row: 3
[2024-07-11 21:43:30] udpate price: 002785.KS, row: 3
[2024-07-11 21:43:31] udpate price: 002787.KS, row: 3
[2024-07-11 21:43:32] udpate price: 002790.KS, row: 3
[2024-07-11 21:43:33] udpate price: 002795.KS, row: 3
[2024-07-11 21:43:35] udpate price: 00279K.KS, row: 3
[2024-07-11 21:43:36] udpate price: 002810.KS, row: 3
[2024-07-11 21:43:37] udpate price: 002840.KS, row: 3
[2024-07-11 21:43:38] udpate price: 002900.KS, row: 3
[2024-07-11 21:43:40] udpate price: 002920.KS, row: 3
[2024-07-11 21:43:41] udpate price: 002960.KS, row: 3
[2024-07-11 21:43:42] udpate price: 003010.KS, row: 3
[2024-07-11 21:43:44] udpate price: 003030.KS, row: 3
[2024-07-11 21:43:45] udpate price: 003080.KS, row: 3
[2024-07-11 21:43:46] udpate price: 003090.KS, row: 3
[2024-07-11 21:43:48] udpate price: 003160.KS, row: 3
[2024-07-11 21:43:49] udpate price: 003200.KS, row: 3
[2024-07-11 21:43:50] udpate price: 003220.KS, row: 3
[2024-07-11 21:43:51] udpate price: 003230.KS, row: 3
[2024-07-11 21:43:53] udpate price: 003280.KS, row: 3
[2024-07-11 21:43:54] udpate price: 003300.KS, row: 3
[2024-07-11 21:43:55] udpate price: 003410.KS, row: 1
[2024-07-11 21:43:56] udpate price: 003460.KS, row: 3
[2024-07-11 21:43:57] udpate price: 003465.KS, row: 3
[2024-07-11 21:43:59] udpate price: 003470.KS, row: 3
[2024-07-11 21:44:00] udpate price: 003475.KS, row: 3
[2024-07-11 21:44:01] udpate price: 003480.KS, row: 3
[2024-07-11 21:44:03] udpate price: 003490.KS, row: 3
[2024-07-11 21:44:04] udpate price: 003495.KS, row: 3
[2024-07-11 21:44:05] udpate price: 003520.KS, row: 3
[2024-07-11 21:44:07] udpate price: 003530.KS, row: 3
[2024-07-11 21:44:08] udpate price: 003535.KS, row: 3
[2024-07-11 21:44:09] udpate price: 003540.KS, row: 3
[2024-07-11 21:44:10] udpate price: 003545.KS, row: 3
[2024-07-11 21:44:12] udpate price: 003547.KS, row: 3
[2024-07-11 21:44:13] udpate price: 003550.KS, row: 3
[2024-07-11 21:44:14] udpate price: 003555.KS, row: 3
[2024-07-11 21:44:16] udpate price: 003560.KS, row: 3
[2024-07-11 21:44:17] udpate price: 003570.KS, row: 3
[2024-07-11 21:44:18] udpate price: 003620.KS, row: 3
[2024-07-11 21:44:20] udpate price: 003650.KS, row: 3
[2024-07-11 21:44:21] udpate price: 003670.KS, row: 3
[2024-07-11 21:44:22] udpate price: 003690.KS, row: 3
[2024-07-11 21:44:24] udpate price: 003720.KS, row: 3
[2024-07-11 21:44:25] udpate price: 003780.KS, row: 3
[2024-07-11 21:44:26] udpate price: 003830.KS, row: 3
[2024-07-11 21:44:28] udpate price: 003850.KS, row: 3
[2024-07-11 21:44:29] udpate price: 003960.KS, row: 3
[2024-07-11 21:44:31] udpate price: 004000.KS, row: 3
[2024-07-11 21:44:32] udpate price: 004020.KS, row: 3
[2024-07-11 21:44:34] udpate price: 004080.KS, row: 3
[2024-07-11 21:44:35] udpate price: 004090.KS, row: 3
[2024-07-11 21:44:37] udpate price: 004100.KS, row: 3
[2024-07-11 21:44:38] udpate price: 004105.KS, row: 3
[2024-07-11 21:44:40] udpate price: 004140.KS, row: 3
[2024-07-11 21:44:42] udpate price: 004150.KS, row: 3
[2024-07-11 21:44:43] udpate price: 004170.KS, row: 3
[2024-07-11 21:44:45] udpate price: 004250.KS, row: 3
[2024-07-11 21:44:47] udpate price: 004255.KS, row: 3
[2024-07-11 21:44:48] udpate price: 004310.KS, row: 3
[2024-07-11 21:44:50] udpate price: 004360.KS, row: 3
[2024-07-11 21:44:51] udpate price: 004365.KS, row: 3
[2024-07-11 21:44:53] udpate price: 004370.KS, row: 3
[2024-07-11 21:44:55] udpate price: 004380.KS, row: 3
[2024-07-11 21:44:56] udpate price: 004410.KS, row: 3
[2024-07-11 21:44:58] udpate price: 004415.KS, row: 3
[2024-07-11 21:44:59] udpate price: 004430.KS, row: 3
[2024-07-11 21:45:00] udpate price: 004440.KS, row: 3
