[2024-07-11 21:41:02] Try to insert 2566 codes
[2024-07-11 21:41:06] udpate price: METCL, row: 3
[2024-07-11 21:41:08] udpate price: ONYX, row: 3
[2024-07-11 21:41:09] udpate price: INDV, row: 3
[2024-07-11 21:41:11] udpate price: DTCK, row: 3
[2024-07-11 21:41:12] udpate price: INBS, row: 3
[2024-07-11 21:41:14] udpate price: IBEX, row: 3
[2024-07-11 21:41:15] udpate price: PUBM, row: 3
[2024-07-11 21:41:17] udpate price: SRDX, row: 3
[2024-07-11 21:41:19] udpate price: HUGE, row: 3
[2024-07-11 21:41:21] udpate price: WINV, row: 3
[2024-07-11 21:41:22] udpate price: AQUNU, row: 3
[2024-07-11 21:41:24] udpate price: AIMD, row: 3
[2024-07-11 21:41:25] udpate price: BHFAL, row: 3
[2024-07-11 21:41:26] udpate price: XOMAP, row: 3
[2024-07-11 21:41:28] udpate price: ASTI, row: 3
[2024-07-11 21:41:30] udpate price: SNEX, row: 3
[2024-07-11 21:41:31] udpate price: TARA, row: 3
[2024-07-11 21:41:33] udpate price: ANNX, row: 3
[2024-07-11 21:41:34] udpate price: RMR, row: 3
[2024-07-11 21:41:35] udpate price: PCYO, row: 3
[2024-07-11 21:41:37] udpate price: QNRX, row: 3
[2024-07-11 21:41:38] udpate price: ARBE, row: 3
[2024-07-11 21:41:40] udpate price: NWBI, row: 3
[2024-07-11 21:41:41] udpate price: SLAMU, row: 3
[2024-07-11 21:41:43] udpate price: EMLD, row: 3
[2024-07-11 21:41:44] udpate price: TOP, row: 3
[2024-07-11 21:41:45] udpate price: CRVL, row: 3
[2024-07-11 21:41:47] udpate price: IMNM, row: 3
[2024-07-11 21:41:48] udpate price: EPIX, row: 3
[2024-07-11 21:41:50] udpate price: AQB, row: 3
[2024-07-11 21:41:51] udpate price: AGNCN, row: 3
[2024-07-11 21:41:53] udpate price: EYEN, row: 3
[2024-07-11 21:41:54] udpate price: CARG, row: 3
[2024-07-11 21:41:56] udpate price: JSM, row: 3
[2024-07-11 21:41:57] udpate price: TER, row: 3
[2024-07-11 21:41:59] udpate price: BON, row: 3
[2024-07-11 21:42:00] udpate price: AMST, row: 3
[2024-07-11 21:42:02] udpate price: SPNS, row: 3
[2024-07-11 21:42:03] udpate price: VRSN, row: 3
[2024-07-11 21:42:05] udpate price: ATLCP, row: 3
[2024-07-11 21:42:06] udpate price: RILYK, row: 3
[2024-07-11 21:42:08] udpate price: TCON, row: 3
[2024-07-11 21:42:09] udpate price: PPBI, row: 3
[2024-07-11 21:42:11] udpate price: CWCO, row: 3
[2024-07-11 21:42:12] udpate price: JAKK, row: 3
[2024-07-11 21:42:14] udpate price: BETR, row: 3
[2024-07-11 21:42:15] udpate price: KRYS, row: 3
[2024-07-11 21:42:16] udpate price: TNYA, row: 3
[2024-07-11 21:42:18] udpate price: PGEN, row: 3
[2024-07-11 21:42:19] udpate price: SBT, row: 3
[2024-07-11 21:42:21] udpate price: SAGE, row: 3
[2024-07-11 21:42:22] udpate price: CVII, row: 3
[2024-07-11 21:42:24] udpate price: EA, row: 3
[2024-07-11 21:42:25] udpate price: GLMD, row: 3
[2024-07-11 21:42:27] udpate price: MBINN, row: 3
[2024-07-11 21:42:28] udpate price: GECC, row: 3
[2024-07-11 21:42:29] udpate price: DMTK, row: 3
[2024-07-11 21:42:31] udpate price: ICFI, row: 3
[2024-07-11 21:42:32] udpate price: TWG, row: 3
[2024-07-11 21:42:33] udpate price: ABLLL, row: 3
[2024-07-11 21:42:34] udpate price: BEAT, row: 3
[2024-07-11 21:42:36] udpate price: SLRC, row: 3
[2024-07-11 21:42:37] udpate price: MSBIP, row: 3
[2024-07-11 21:42:38] udpate price: BTOC, row: 3
[2024-07-11 21:42:40] udpate price: MDXG, row: 3
[2024-07-11 21:42:41] udpate price: PLAO, row: 3
[2024-07-11 21:42:42] udpate price: MACAU, row: 3
[2024-07-11 21:42:44] udpate price: SLNO, row: 3
[2024-07-11 21:42:45] udpate price: HWC, row: 3
[2024-07-11 21:42:46] udpate price: SRTS, row: 3
[2024-07-11 21:42:48] udpate price: MHUA, row: 3
[2024-07-11 21:42:49] udpate price: WINVU, row: 3
[2024-07-11 21:42:51] udpate price: CHW, row: 3
[2024-07-11 21:42:52] udpate price: MULN, row: 3
[2024-07-11 21:42:53] udpate price: DLHC, row: 3
[2024-07-11 21:42:55] udpate price: ALLO, row: 3
[2024-07-11 21:42:56] udpate price: LESL, row: 3
[2024-07-11 21:42:57] udpate price: FBYD, row: 3
[2024-07-11 21:42:58] udpate price: BTBT, row: 3
[2024-07-11 21:43:00] udpate price: ELVN, row: 3
[2024-07-11 21:43:02] udpate price: SIMO, row: 3
[2024-07-11 21:43:03] udpate price: GRFS, row: 3
[2024-07-11 21:43:04] udpate price: AEZS, row: 3
[2024-07-11 21:43:06] udpate price: CUE, row: 3
[2024-07-11 21:43:07] udpate price: FTAIN, row: 3
[2024-07-11 21:43:09] udpate price: PCRX, row: 3
[2024-07-11 21:43:10] udpate price: WTMAU, row: 3
[2024-07-11 21:43:12] udpate price: GUTS, row: 3
[2024-07-11 21:43:13] udpate price: IVCAU, row: 3
[2024-07-11 21:43:15] udpate price: ASTC, row: 3
[2024-07-11 21:43:16] udpate price: SVMH, row: 3
[2024-07-11 21:43:18] udpate price: AGIO, row: 3
[2024-07-11 21:43:19] udpate price: TPG, row: 3
[2024-07-11 21:43:20] udpate price: IONR, row: 3
