[2024-07-11 21:41:02] Try to insert 2352 codes
[2024-07-11 21:41:09] udpate price: JPM PR L, row: 0
[2024-07-11 21:41:11] udpate price: CLF, row: 3
[2024-07-11 21:41:13] udpate price: BML PR G, row: 0
[2024-07-11 21:41:15] udpate price: TRNO, row: 3
[2024-07-11 21:41:17] udpate price: RGA, row: 3
[2024-07-11 21:41:18] udpate price: RSG, row: 3
[2024-07-11 21:41:20] udpate price: BLD, row: 3
[2024-07-11 21:41:21] udpate price: BIT, row: 3
[2024-07-11 21:41:23] udpate price: INVH, row: 3
[2024-07-11 21:41:24] udpate price: UE, row: 3
[2024-07-11 21:41:26] udpate price: HZO, row: 3
[2024-07-11 21:41:27] udpate price: RCS, row: 3
[2024-07-11 21:41:29] udpate price: LAD, row: 3
[2024-07-11 21:41:30] udpate price: NIM, row: 3
[2024-07-11 21:41:32] udpate price: STG, row: 3
[2024-07-11 21:41:35] udpate price: JPM PR M, row: 0
[2024-07-11 21:41:36] udpate price: BOOT, row: 3
[2024-07-11 21:41:38] udpate price: VTMX, row: 3
[2024-07-11 21:41:39] udpate price: SDHY, row: 0
[2024-07-11 21:41:41] udpate price: AIO, row: 3
[2024-07-11 21:41:42] udpate price: LOMA, row: 3
[2024-07-11 21:41:43] udpate price: NMAI, row: 0
[2024-07-11 21:41:45] udpate price: RBCP, row: 3
[2024-07-11 21:41:46] udpate price: BRO, row: 3
[2024-07-11 21:41:48] udpate price: GAB PR H, row: 0
[2024-07-11 21:41:50] udpate price: SUM, row: 3
[2024-07-11 21:41:51] udpate price: AACT, row: 3
[2024-07-11 21:41:53] udpate price: MEC, row: 3
[2024-07-11 21:41:54] udpate price: CCRD, row: 3
[2024-07-11 21:41:56] udpate price: CYD, row: 3
[2024-07-11 21:41:58] udpate price: DOCS, row: 3
[2024-07-11 21:41:59] udpate price: NFG, row: 3
[2024-07-11 21:42:00] udpate price: ELC, row: 3
[2024-07-11 21:42:02] udpate price: ETD, row: 3
[2024-07-11 21:42:03] udpate price: LOAR, row: 3
[2024-07-11 21:42:05] udpate price: DTE, row: 3
[2024-07-11 21:42:07] udpate price: NUE, row: 3
[2024-07-11 21:42:08] udpate price: RYAN, row: 3
[2024-07-11 21:42:09] udpate price: TRP, row: 3
[2024-07-11 21:42:11] udpate price: RFI, row: 3
[2024-07-11 21:42:12] udpate price: JHS, row: 3
[2024-07-11 21:42:14] udpate price: MHI, row: 3
[2024-07-11 21:42:15] udpate price: HRB, row: 3
[2024-07-11 21:42:17] udpate price: MQT, row: 3
[2024-07-11 21:42:18] udpate price: STNG, row: 3
[2024-07-11 21:42:20] udpate price: AXS, row: 3
[2024-07-11 21:42:21] udpate price: DTM, row: 3
[2024-07-11 21:42:25] udpate price: TEN PR E, row: 0
[2024-07-11 21:42:27] udpate price: WRB PR G, row: 0
[2024-07-11 21:42:29] udpate price: BMI, row: 3
[2024-07-11 21:42:30] udpate price: DFIN, row: 3
[2024-07-11 21:42:31] udpate price: DCI, row: 3
[2024-07-11 21:42:33] udpate price: GRX, row: 3
[2024-07-11 21:42:34] udpate price: EVN, row: 3
[2024-07-11 21:42:36] udpate price: AUB PR A, row: 0
[2024-07-11 21:42:37] udpate price: BIGZ, row: 0
[2024-07-11 21:42:40] udpate price: USB PR S, row: 0
[2024-07-11 21:42:41] udpate price: VSTS, row: 3
[2024-07-11 21:42:42] udpate price: MWA, row: 3
[2024-07-11 21:42:45] udpate price: TRTN PR A, row: 0
[2024-07-11 21:42:48] udpate price: RC PR E, row: 0
[2024-07-11 21:42:50] udpate price: ENIC, row: 3
[2024-07-11 21:42:51] udpate price: AMH, row: 3
[2024-07-11 21:42:54] udpate price: TRTN PR B, row: 0
[2024-07-11 21:42:56] udpate price: TPZ, row: 3
[2024-07-11 21:42:57] udpate price: AN, row: 3
[2024-07-11 21:42:58] udpate price: SKM, row: 3
[2024-07-11 21:43:00] udpate price: GF, row: 3
[2024-07-11 21:43:01] udpate price: SSD, row: 3
[2024-07-11 21:43:03] udpate price: BXMT, row: 3
[2024-07-11 21:43:04] udpate price: KIO, row: 3
